prices,compound,neg,neu,pos
12469,-0.9814,0.159,0.749,0.093
12472,-0.8871,0.118,0.783,0.099
12474,-0.9993,0.198,0.734,0.067
12480,-0.9982,0.131,0.806,0.062
12398,-0.9901,0.124,0.794,0.082
12406,-0.965,0.134,0.771,0.094
12414,-0.9975,0.193,0.735,0.072
12423,0.9458,0.097,0.789,0.114
12416,-0.9961,0.108,0.84,0.052
12442,-0.9504,0.134,0.743,0.123
12514,-0.9981,0.131,0.81,0.059
12556,-0.9899,0.122,0.816,0.062
12562,-0.9969,0.201,0.708,0.091
12569,-0.9907,0.179,0.709,0.111
12575,-0.6943,0.093,0.823,0.084
12582,-0.9744,0.11,0.801,0.089
12577,-0.999,0.188,0.742,0.07
12567,-0.9995,0.218,0.701,0.081
12565,-0.9962,0.118,0.818,0.064
12536,-0.9894,0.142,0.778,0.081
12506,-0.9753,0.136,0.773,0.091
12477,-0.5638,0.099,0.804,0.097
12533,-0.999,0.155,0.779,0.066
12621,-0.9925,0.14,0.756,0.104
12502,-0.9967,0.155,0.742,0.103
12487,-0.997,0.143,0.78,0.077
12488,-0.9874,0.14,0.794,0.066
12489,-0.988,0.161,0.749,0.09
12490,-0.9751,0.143,0.732,0.125
12523,-0.9992,0.185,0.723,0.092
12621,0.9597,0.136,0.71,0.154
12673,-0.9963,0.152,0.752,0.096
12653,-0.9962,0.168,0.718,0.114
12656,-0.9967,0.21,0.666,0.124
12658,-0.9688,0.154,0.73,0.116
12661,-0.9995,0.222,0.712,0.066
12666,-0.9993,0.185,0.725,0.09
12666,-0.9971,0.167,0.725,0.108
12637,-0.9821,0.12,0.791,0.089
12580,-0.9986,0.178,0.745,0.076
12571,-0.9878,0.156,0.746,0.098
12561,-0.6311,0.107,0.798,0.095
12552,-0.9719,0.102,0.817,0.081
12654,-0.9964,0.14,0.773,0.087
12741,-0.9991,0.197,0.717,0.086
12765,-0.998,0.179,0.723,0.098
12767,-0.9978,0.19,0.688,0.122
12772,-0.9983,0.233,0.673,0.094
12777,-0.9979,0.227,0.667,0.106
12781,-0.9968,0.171,0.762,0.067
12786,0.9474,0.107,0.767,0.126
12738,-0.9962,0.15,0.776,0.074
12686,-0.9979,0.152,0.758,0.09
12647,-0.9983,0.178,0.722,0.1
12642,-0.9786,0.127,0.794,0.079
12637,0.3178,0.13,0.732,0.138
12632,0.7757,0.077,0.834,0.089
12216,-0.9974,0.136,0.79,0.074
12268,-0.9836,0.15,0.729,0.121
12234,-0.9973,0.172,0.713,0.115
12114,-0.9986,0.182,0.725,0.092
